county,si_crude_rate,year
Wake,28.5,2020
Warren,18.3,2020
Washington,21.9,2020
Watauga,36.2,2020
Wayne,38.0,2020
Wilkes,42.4,2020
Wilson,52.0,2020
Yadkin,47.1,2020
Yancey,40.6,2020
Alamance,55.9,2021
Alexander,58.4,2021
Alleghany,30.6,2021
Anson,52.8,2021
Ashe,43.4,2021
Avery,41.8,2021
Beaufort,56.3,2021
Bertie,51.7,2021
Bladen,61.2,2021
Brunswick,32.3,2021
Buncombe,88.1,2021
Burke,56.6,2021
Cabarrus,42.7,2021
Caldwell,59.6,2021
Camden,29.1,2021
Carteret,22.1,2021
Caswell,23.2,2021
Catawba,64.9,2021
Chatham,18.7,2021
Cherokee,23.8,2021
Chowan,39.4,2021
Clay,9.8,2021
Cleveland,47.8,2021
Columbus,38.5,2021
Craven,36.5,2021
Cumberland,52.4,2021
Currituck,16.9,2021
Dare,28.0,2021
Davidson,48.6,2021
Davie,49.0,2021
Duplin,45.5,2021
Durham,50.9,2021
Edgecombe,89.0,2021
Forsyth,69.8,2021
Franklin,34.1,2021
Gaston,46.8,2021
Gates,20.2,2021
Graham,29.8,2021
Granville,35.7,2021
Greene,29.8,2021
Guilford,54.6,2021
Halifax,52.5,2021
Harnett,36.8,2021
Haywood,59.0,2021
Henderson,52.9,2021
Hertford,39.9,2021
Hoke,43.0,2021
Hyde,47.8,2021
Iredell,47.8,2021
Jackson,30.7,2021
Johnston,31.1,2021
Jones,36.9,2021
Lee,41.7,2021
Lenoir,38.1,2021
Lincoln,40.0,2021
Macon,46.3,2021
Madison,59.7,2021
Martin,28.6,2021
McDowell,75.9,2021
Mecklenburg,36.4,2021
Mitchell,51.6,2021
Montgomery,28.3,2021
Moore,28.6,2021
Nash,54.7,2021
New Hanover,51.5,2021
Northampton,45.6,2021
Onslow,32.2,2021
Orange,44.9,2021
Pamlico,21.1,2021
Pasquotank,54.9,2021
Pender,42.6,2021
Perquimans,43.8,2021
Person,39.3,2021
Pitt,67.7,2021
Polk,34.8,2021
Randolph,26.8,2021
Richmond,59.5,2021
Robeson,111.2,2021
Rockingham,55.2,2021
Rowan,51.0,2021
Rutherford,66.3,2021
Sampson,39.0,2021
Scotland,70.6,2021
Stanly,58.6,2021
Stokes,52.6,2021
Surry,49.2,2021
Swain,75.6,2021
Transylvania,60.8,2021
Tyrrell,37.2,2021
Union,30.2,2021
Vance,58.9,2021
Wake,32.7,2021
Warren,34.0,2021
Washington,22.2,2021
Watauga,47.5,2021
Wayne,33.7,2021
Wilkes,45.7,2021
Wilson,72.2,2021
Yadkin,54.1,2021
Yancey,47.1,2021
Alamance,63.0,2022
Alexander,49.1,2022
Alleghany,40.4,2022
Anson,58.1,2022
